,channel_id,video_titles,verticals,assistant_two_shot,assistant_zero_shot,media_anl_step_by_step,data_sc_step_by_step,data_sc_simple,content_str_step_by_step,reference_prompt,simple,classifier_one_shot,classifier_two_shot,classifier_zero_shot,assistant_one_shot
33,UC6oiuMaTUrKiLn1u6gbaMag,"['CALISTHENICO VS FIT GIRL! SFIDA ALLE SBARRE', 'RUNNER vs FITNESS GIRL! CHI È PIU FORTE?', 'COME DIVENTARE UNA RUNNER', 'SFIDO DENNIS CALLA! BODYBUILDER VS FIT GIRL', 'UOMO vs DONNA! Sfida di Forza e Resistenza!', 'COME INIZIARE AD ALLENARSI! COME FARE IL PRIMO WORKOUT', 'PANCIA PIATTA E ADDOME SCOLPITO IN 10 MINUTI - ALLENAMENTO SENZA PESI', 'GLUTEI SODI E ALTI IN 12 Minuti! Allenamento Completo', 'RAGAZZA PROVA LO SQUAT IMPOSSIBILE! 1 SOLA REP!']",Health & Fitness,,Sports Editorial Content,,,,,,,Sports Editorial Content,,Sports Editorial Content,Sports Editorial Content
34,UCO7vT4IiDqb1Ry8kSDCiRNw,"['DARUM war ich lange nicht mehr aktiv auf YouTube | Nero und die Katzen plötzlich krank', 'LUKULLUS Hundefutter im Test | Nassfutter für Hunde | JulisTierfuttertest #16', 'Showlinie VS Leistungslinie beim HUND | Unterschiede in der Zuchtrichtung von Hunderassen', 'Katzenfutter SANDRAS SCHMANKERL im Test | Nassfutter für Katzen | JulisTierfuttertest #15', 'Das beste KATZENSTREU! Katzenstreu-Test | Bentonit, Silikat & Naturfaser Streu für Katzen', 'LECKERLIES IN DER HUNDEERZIEHUNG | JA ODER NEIN? | Hund richtig belohnen', 'ZooRoyal OSTER-SCHATZKISTE für HUND & KATZE | Überraschungspaket unboxing', 'Gesunde Gelenke beim HUND | So bleibt euer Hund fit ins hohe Alter | belso MOVE Gelenktabs', 'Mach DAS niemals im Urlaub! Tierquälerei im Urlaub | Elefantentrekking, Delfinschwimmen & Co']",Lifestyle & Hobbies,,Family,,,Pets & Animals,,Pets & Animals,,,Pets & Animals,,
35,UCqAISscklbbQS-Y3GHyE-sA,"['Ich teste VIRALE RAMEN 🍜 Rezepte von TikTok (FETTIG!)', 'Was ist mit Emma 🐶 los?!', 'Ich teste VIRALE 2 Zutaten Rezepte von TikTok (KRASS!)', 'DAS wurde aus Ute – dem geretteten Huhn!', 'Ich teste VIRALE Kartoffel 🥔 Rezepte von TikTok (FETTIG!)', 'Ich bewerte ALLE meine Tattoos nach Schmerz (0 - LAVA🔥)', 'Ich teste VIRALE Reispapier Rezepte von TikTok (SORRY!)', 'Mein liebster Raum ist ENDLICH fertig! (EUPHORIE)', 'Ich teste VIRALE Waffel 🧇 Rezepte von TikTok (OHJE!)']",Food & Drinks,,,,,,,,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,,Lifestyle & Hobbies
36,UCvGh4HT9ySBoURt0zSpC0Nw,"['TikTok FOODTRENDS im TEST! GO oder NO-GO?', 'Wer kann besser HALBIEREN? (MAX vs. ROB)', 'Wer ist der BESTE YOUTUBE KOCH⁉️👨🏻\u200d🍳 | Dinner Duell Folge 2', 'MEINE TOP 5 SANDWICHES!🥪 (6\xa0Jahre\xa0später)', 'WIR testen „INFLUENCER“ Produkte!', 'Ich esse ALLES in MAROKKO! (Marrakesch 🇲🇦)', 'Ich esse ALLES in ITALIEN! (Neapel 🇮🇹)', 'Der KAMPF meines Lebens. Reaktion auf meinen BOXKAMPF 🥊 (Boxdoku Ep. 7)', 'Willkommen bei CrispyRob Zuhause ❤ (Haus-Tour)']",Food & Drinks,,,,,,,Entertainment,,,Lifestyle & Hobbies,,Lifestyle & Hobbies
37,UCAy-tvx0OXhW9ZGhWC1mhDw,"['Lücken HD', 'Zungenraum', 'Die 5 dümmsten Käufe in meinen 20igern (bis jetzt)', 'Verrückte Waffel Challenge - Auf die Waffel mit Anne Müller-Wieland und Didi Linnekogel.', 'Herzhafte vegane Kartoffelwaffeln - Auf die Waffel mit Didi Linnekogel und CatyCake', 'Hockey EM 2019 - Auf die Waffel mit Anne Schröder und CatyCake', '3 gegen 100', 'KULTURSCHOCK! So habe ich mir Rio nicht vorgestellt', 'Kleiderschrank ausmisten - hin zum Minimalismus?']",Lifestyle & Hobbies,Entertainment,Entertainment,,,,,,,,,,
38,UCOXiM0iYkuCqNfZJoNpTAHQ,"[""NUOVO SCARICO PER L'AUDI TT DELLA MIA RAGAZZA!"", ""APRILIA E' INAFFIDABILE? RSV4 A PIEDI! PROBLEMI AL MOTORE?"", 'AUTO CI TAGLIA LA STRADA ED INSULTA ANCHE 🤬', 'Li devi stare p****o d*o! 🤬', 'IMPENNATE, CASINO E TRAVERSI SULLA HONDA CRF450', ""VA CONTROMANO IN MOTO! MA PERCHE'!?"", 'I GENITORI DI GIORGIA REAGISCONO AI 300cv DELL’AUDI TT', 'QUESTA MOTO NON HA SENSO 😱 BMW S1000RR 2024', 'MARK HA COMPRATO UNA NUOVA MOTO!']",Auto & Vehicles,Category: Auto & Vehicles,,,,,,,,,,,
39,UCE2AMNC7H3shyUzPVwWZVLw,"[""E' USCITO il NUOVO MINECRAFT DUNGEONS! Beta Anteprima Minecraft Dungeons Ps4 Xbox Pc"", 'RENDERE le STRUTTURE INVISIBILI con IL COMMAND BLOCK su MINECRAFT PS4 BEDROCK! Comandi Speciali PS4', 'AGGIORNAMENTO USCITO ADESSO su MINECRAFT PS4 BEDROCK! Tutti problemi Accesso RISOLTI Minecraft PS4', 'COME METTERE LE MODS su MINECRAFT PS4 BEDROCK EDITION! Installare MOD / ADDONS Minecraft PS4 BEDROCK', 'MODS MINIGAME e LUCKYBLOCK su MINECRAFT PS4🔥 Entrate e Giochiamo INSIEME! Minecraft PS4 XBOX PE PC', 'API e PIRAMIDI! ECCO DOVE TROVARLE!🐝 Minecraft PS4 Bedrock SEED VANILLA COME TROVARE LE API!', 'MODS e ADDON su MINECRAFT PS4 BEDROCK!😍 ADD-ON Lamborghini e Macchina Funzionante Minecraft PS4', 'MAPPE GRATUITE dal MARKET PLACE!😱 ECCO COME FARE! Minecraft PS4 Bedrock MAPPE GRATIS nel NEGOZIO!', 'CREARE STRUTTURE con LO STRUCTURE BLOCK su MINECRAFT PS4 BEDROCK!🌍 Nuovo Blocco MODS WORLD EDIT PS4']",Gaming,Category: Gaming,,,,,,,,,,,
40,UC72ZwIgcz_T3a9qpX083zeQ,"['Dubbi Kids 🍭 | NO CONTROLES | Canciones para niños', 'Dubbi Kids 🍭 | FAMILIA DEDO COLORES | Canciones Infantiles', 'Dubbi Kids 🍭 | PIPO PAT EL PATITO FEO | Canciones Infantiles', 'Dubbi Kids 🍭 | FAMILIA DEDO GRANJA | Canciones Infantiles', 'Dubbi Kids 🍭 | EL BICHITO JUANITO | Canciones Infantiles', 'Lo Que Deseas Se Puede Lograr (audio) | DUBBI KIDS | 🍳 Libro Huevo Frito', 'Me Siento Fenomenal | DUBBI KIDS | 🍳 La increíble historia de un huevo frito', 'Huevo Ganador | DUBBI KIDS | 🍳 La increíble historia de un huevo frito', 'Olas Que Vienen y Van | DUBBI KIDS | 🍳 La increíble historia de un huevo frito']",Kids Content,Category: Kids Content,,,,,,,,,,,
41,UCJm3ECWPT6r8xBHV5NDVrMQ,"['Sono Bello | Does the Fat come back after Liposuction? #SonoBelloAmbassador', 'Sono Bello | Do you get loose skin? Yes or No & Why #SonoBelloAmbassador', 'SONO BELLO | Best Compression Garment for Liposuction Recovery #SonoBelloAmbassador', 'SONO BELLO FAQs | Did You Lose Weight or Fat with LIPOSUCTION? #SonoBelloAmbassador', 'SONO BELLO FAQs | Do They Put You To Sleep to do LIPOSUCTION?  #SonoBelloAmbassador', 'Sono Bello FAQs | How Soon Can You Workout After Liposuction  #SonoBelloAmbassador', 'Sono Bello FAQs | How Much FAT did they Remove? WARNING! GRAPHIC!  #SonoBelloAmbassador', 'Sono Bello FAQs | ohhh the ITCHING!! Here is WHY 😬  #SonoBelloAmbassador', 'Sono Bello FAQs | Did I get LYMPHATIC MASSAGES? 🤓  #SonoBelloAmbassador']",Health & Fitness,Category: Health & Fitness,,,,,,,,,,,
42,UCpMv4DqZ8Y4QO_aFw2vkGjA,"['Auch das noch: Nächster Top-Star verlässt Bayern?!', 'ICH HEULE: Ronaldo verkündet Karriereende.. ?', 'WIEDER VERSAGT! SC Freiburg - Bayern München 2:2 ..', 'Hammer: Nagelsmann vor Bayern-Rückkehr..?!', 'Diese Frage will er nicht beantworten: Manuel Neuer bricht Interview ab!', ""Nach Bayern-Aus: Tuchel's neuer Verein heißt _______ !"", 'Kane in der Nachspielzeit! Bayern München - RB Leipzig 2:1 (ANALYSE)', 'Auch das noch: Top-Star verlässt Bayern zu Real Madrid..', 'Nach Tuchel-Aus: Trainer-Entscheidung bei Bayern gefallen..']",Sports Editorial Content,Category: Sports Editorial Content,,,,,,,,,,,
43,UCAABLU5uXLLIoozkiPP7k3g,"['Pure Dominanz | Abus Magomedov ist zurück! | UFC - FIGHTING', 'JAA! WM-KAMPF FÜR AGIT KABAYEL! - FIGHTING', 'FREE: GEMMAF Qualifiers #2', 'FREE: Raul Lemberanksij vs Ahmad Abbas | NFC 18 - FIGHTING', 'FIX: ECKERLIN vs JUNGWIRTH steht | Eckerlin vs Broz Reaction | Oktagon 57 - FIGHTING', 'Boxen live aus Falkensee: Bono vs Wall und Gonzales vs Cakiqi | 6.4. - FIGHTING', 'Boxen live aus Falkensee:  Avdic vs Rodriguez und Etinosa vs Seck | 6.4. - FIGHTING', 'FREE: Max HEINE vs Joseph DONKOR | NFC 18 - FIGHTING', 'FREE: David PIECHACZEK vs Tyrone PFEIFER | NFC 18 - FIGHTING']",Sports Editorial Content,Category: Sports Editorial Content,,,,,,,,,,,
44,UChi_U5HDWUfudfl8KKfuWvg,"['PARKOUR 100% IMPOSSIBLE', 'SPIDERMAN 2 WORLD RECORD', 'FC24 - LASALLE vs AIDENSHOW (ULTIMATE TEAM)', 'LASALLE vs CRÉATURES GÉANTES vs 30 JOUEURS', 'TOTAL WIPEOUT 100% IMPOSSIBLE', 'CACHE CACHE MINECRAFT', 'SQUID GAME GÉANT', 'VÉHICULE LE PLUS STABLE', 'BIGGEST GTA 5 COFFIN DANCE MEME COMPILATION (CRAZY BIG VERSION)']",Gaming,Category: Gaming,,,,,,,,,,,
45,UCjvrWzo_puynmzvTiNQ1OJg,"['Ich bin RATLOS 🤯 Pumpe 2x defekt?! Pastell-Kühlmittel Schuld? & LED Upgrade Kit installiert!', 'WOW, DAS ist mal clean... 🤯 BTF Build im Corsair 6500X', 'Diese RTX 4090 hat KEINEN Stromanschluss? 😳 ASUS ROG BTF Review 2024', 'The ""No Cable"" ROG Build - ASUS Back To Future (BTF) - Time Lapse', 'Die Zukunft des Contents: KI-generierte Inhalte auf dem Vormarsch! 🧠', 'SO VIEL neue Hardware! 🤩 & Wasserschaden- + Studio-Update! Backstage #1 2024', '1 Jahr 3D Druck mit dem Bambu Lab X1C! Bereue ich den Kauf?! 🤔', 'DICKE BROCKEN! 🌪️ be quiet! Dark Rock Pro 5 und  DarkRock Elite (vs. Pure Loop 2)', 'War DAS nötig?! 🤔 Die RTX 4080 Super AERO OC von Gigabyte im Check']",Tech,Category: Tech,,,,,,,,,,,
46,UCN17O9A0wKJVHZjewWDm8lA,"['La NOUVELLE Intelligence Artificielle de GOOGLE !', 'Ce Nouveau Bing (IA) va TUER Google et Chrome !', 'Pourquoi ChatGPT est la prochaine Grosse RÉVOLUTION.', ""Cette IA va IMPACTER ta vie (et c'est flippant..)"", 'Comment ACCÉLÉRER son PC & sa Connexion INTERNET !', '8 Logiciels WINDOWS à ABSOLUMENT Connaître!', 'Comment RÉACTIVER les Dislikes sur YouTube', 'Applications & Jeux ANDROID sur Windows 11 (presque parfait...)', 'Nouveautés, Performances et 3 Points NÉGATIFS | Windows 11']",Tech,Category: Tech,,,,,,,,,,,
47,UCt-HMqsPvzyrGkQ_704Ir5Q,"['Easy Apple Mini Pies Recipe with 1 Apple and 2 Eggs! No Baking Powder Required!', 'Healthy Chocolate Truffles in 10 Minutes! No-Bake!', ""This is the best chocolate cake with nuts you've ever tasted!"", 'Easy Homemade Cake Just Like Your Grandma Used To Make!', 'Easy Nutella-Stuffed Buns Recipe Anyone Can Make!', 'Bake a Moist and Easy Chocolate Chip Cake with Just a Few Basic Ingredients!', 'Easily make a moist and fluffy chocolate cake with this recipe!', 'Delicious Orange Cookie Sticks for Dipping in Hot Drinks!', ""The best orange crinkle cookies you've ever tasted!""]",Food & Drinks,Category: Food & Drinks,,,,,,,,,,,
48,UCCJ-NJtqLQRxuaxHZA9q6zg,"['S+ Hammer Dagger Reaper Build | Backpack Battles', 'Neue Season wird BODENLOS (Patch 14.10)', 'Ninja Turtles als Panzer?! | World of Tanks', 'Das krasseste SoloQ Spiel meines Lebens', 'Coaching vom EUROPAMEISTER', 'Robin Hood, aber auf Windows 98 (HD german)', 'Ich habe die BATTLE BROTHERS Entwickler getroffen!', 'DIE LETZTE SCHLACHT | Manor Lords', 'Mit @Mailand in die Schlacht! | World of Tanks']",Gaming,Category: Gaming,,,,,,,,,,,
49,UCXyDNZg0oIwic0j7m_jOjqQ,"['Le pont de Londres(London Bridge) l Comptines pour bébé', ""Cheval cheval ne t'arrête pas !"", 'La Chanson Du Cheval | Comptines pour bébé', 'Hop fait le petit clown l Comptines pour bébé', 'Connais tu le patissier & autres l Comptines pour bébé', 'La Danse Du Petit Marin l Comptines pour bébé', ""J'ai Péché Un Poisson Vivant l Comptines pour bébés"", ""Cheval Cheval Ne T'arrête Pas ! Comptines pour bébé"", 'Le pont de Londres & autres l Comptines pour bébé']",Kids Content,Category: Kids Content,,,,,,,,,,,
50,UCu5MM6dgH9IgvBr8WDrn4Sg,"['¿Sólo MUJERES? ¿Y sus FAMILIAS? Vlog 2, la industria del Karité en GHANA #Verdeliss *embajadora*', '¿Qué paso en GHANA? Vlog 1, la industria del Karité #Verdeliss *embajadora*', 'Pascua 2023 🐣🐇🪺 Verdeliss', 'Me pruebo el HAUL más EXTRAVAGANTE y ARRIESGADO de SHEIN 🔥 Mis HIJOS lo JUZGAN, sus REACCIONES #ad', 'Pagamos la NOVATADA🎃CARAMELOS para TODO el VECINDARIO!!! DECORAMOS la CASA americana, HALLOWEEN 2022', 'VLOG como los de antaño...REAL y NATURAL! PRIMER DIA de COLEGIO de Miren, su REACCIÓN *AD SMIGHTIES', 'CUMPLIMOS el SUEÑO de su VIDA...y así fue la REACCIÓN de Laia I STORYTIME tratamiento ortodoncia *AD', '7 hijos y un bebé recién nacido / GRABAMOS 24 horas de NUESTRA NUEVA RUTINA / REALIDAD sin FILTROS', 'DIY COMPRESAS TELA y...Deva ya tiene 3 MESES !!!']",Family,,,,,,,,,,,Lifestyle & Hobbies,
51,UCWPU18q799MFtdRMLaJCh7Q,"['MODERN WARFARE 3 - UN GAMEPLAY DAVVERO BRUTTO CHE VALE LA PENA DI GUARDARE', ""FUMAGALLI REACTION: LA CASERMA DUE - SVELATO IL VOLTO DELL'UOMO OCCHIALE"", ""FUMAGALLI REACTION: LA CASERMA 2 - L' UOMO CON LE SPALLE DI COCCO"", 'FUMAGALLI REACTION: IL COLLEGIO 8 QUINTA PUNTATA - ARRIVA IL CARTELLO MESSICANO', 'FUMAGALLI REACTION: IL COLLEGIO 8 QUARTA PUNTATA - PERSI NELLE PANNOCCHIE', 'FUMAGALLI REACTION: IL COLLEGIO 8 TERZA PUNTATA - BARBA PUGLIA E LA POZIONE POLISUCA', 'FUMAGALLI REACTION: IL COLLEGIO 8 SECONDA PUNTATA - MOZZARELLE CON LE EXTENSION PIANGONO', 'FUMAGALLI REACTION: IL COLLEGIO 8 PRIMA PUNTATA - IN AFGANISTAN CON PELAZZA', 'FUMAGALLI E I RITI FASCISTI NEL DESERTO - Beyond Two Souls']",Entertainment,,,,,,,Gaming,,,,,
52,UCraZhrCr0fqudUIV5J9-1rQ,"['ist hier noch jemand?! UPDATE!', 'DAS ENDE DIESES KANALS | ES IST VORBEI', 'meine Hautpflege + Abschmink-Routine', 'Beetique, weiß blondiertes Haar & Makeup unterm Mikroskop | mit Max', 'INSTAGRAM  bestimmt SEIN Makeup | mit Max Amphetamine', 'ER HASST VEGGIES & ich bin fertig mit Tattoos | WER WÜRDE EHER', 'LAVENDER DREAM | Balayage Hair Transformation', 'mein Bett muss weg | ROOMTOUR UPDATE', 'SO GEHTS RENESMEE | Katze ist unsauber - Update']",Lifestyle & Hobbies,,,,,,,Entertainment,,,,,
53,UCPrbArysdf6neOcQPaxzxFg,"['Cómo VENDER en AMAZON FBA 2023  | Curso Gratis Paso a Paso con Ventas Reales', 'Cómo Importar desde CHINA por ALIBABA de forma SEGURA por Barco, Avión o Tren 2022 | Guía Completa', 'Cómo Vender en Amazon 2022 desde tu casa FBM | Vender y Preparar Pedidos GUIA COMPLETA', 'Cómo RECUPERAR Cuenta de GOOGLE Sin Número ni Contraseña 2021 | Recuperar Acceso a GMAIL', 'TOP Mejores Auriculares Bluetooth Calidad Precio 2021 | Los Más Vendidos en AMAZON', 'Cómo Recuperar Contraseña de Instagram sin Número ni Correo ✅ | Recuperar Acceso a cuenta 2021', 'Cómo DESCARGAR VIDEOS de Cualquier Página WEB 2021 | Fácil y Rápido', '10 MEJORES PELICULAS NETFLIX 2021 NUEVAS para ver AHORA en TV Grande 4K', 'Análisis a Nuevos Auriculares ¿serán los AIRPODS 3?  | Mejores Auriculares 2021']",Tech,,,,,,,,,,,,Corporate Channels
